Pewni Dobrego - Ogórek krótki,Ogórki,1,kg
Kalafior - Warzywa,Kalafior,1,szt.
Brokuł - Warzywo,Brokuł,0.5,szt.
Brokuł - BIO warzywo,Brokuł,1,szt.
Cukinia - Warzywo,Cukinia,1,kg
Nijar Green - Cukinia BIO ,Cukinia,0.6,szt.
Nijar Green - Bakłażan BIO ,Bakłażan,1,szt.
Bakłażan - Warzywo,Bakłażan,1,kg
Czosnek - Główka sztuka,Czosnek,1,szt.
Auchan - Czosnek ekstra,Czosnek,1,szt.
Ekologiczny Stragan - Czosnek EKO,Czosnek,1,szt.
Arvit - Brukselka tacka,Brukselka,0.5,szt.
Warzywa - Miks świeżych warzyw,Freshbox,1,szt.
Ziemniaki - luz,Ziemniaki,1,kg
Ziemniaki - Jadalny ,Ziemniaki,2,szt.
Ziemniaki - Do gotowania,Ziemniaki,2,szt.
Ziemniaki - Kulinarne,Ziemniaki,2,szt.
Farma Świętokrzyska - BIO ziemniaki,Ziemniaki,1,szt.
Ziemniaki - Sałatkowe,Ziemniaki,2,szt.
Pewni Dobrego - Ziemniaki  ,Ziemniaki,2,szt.
Ziemniaki - Szczotkowane,Ziemniaki,5,szt.
Ziemniaki - Odmiana Irga,Ziemniaki,5,szt.
Ziemniaki - Słodkie Bataty,Słodkie ziemniaki,1,kg
Bataty - Bio Słodkie ziemniaki,Słodkie ziemniaki,0.5,szt.
Auchan - Buraki,Buraki,1,szt.
Buraki - Czerwone,Buraki,1,kg
Pewni Dobrego - Buraki,Buraki,1,szt.
Buraki - ekologiczne,Buraki,1,szt.
Green Factory - Seler naciowy średni,Włoszczyzna,1,szt.
Łuczak - Włoszczyzna,Włoszczyzna,0.5,szt.
Seler - Korzeń,Włoszczyzna,1,kg
Włoszczyzna - Obierana tacka,Włoszczyzna,0.5,szt.
Pietruszka - Korzeń,Włoszczyzna,1,kg
Kacprowicz - Włoszczyzna,Włoszczyzna,1,szt.
Seler - Naciowy BIO,Włoszczyzna,0.4,szt.
Warzywa - Włoszczyzna EKO,Włoszczyzna,0.4,szt.
Mączka - Marchew PP,Marchew,1,szt.
Marchew - Warzywa,Marchew,1,kg
Auchan - Marchew,Marchew,1,szt.
Pewni Dobrego - Marchew,Marchew,0.8,szt.
Farma Świętokrzyska - Marchew BIO,Marchew,0.5,szt.
Pewni Dobrego - Marchew na sok,Marchew,3,szt.
Łuczak - Por sałatkowy,Pory,0.5,szt.
Por - Warzywo,Pory,1,kg
Kapusta - główka,Kapusta,1,kg
Kapusta - Czerwona główka,Kapusta,1,kg
Kapusta - Włoska,Kapusta,1,kg
Kapusta - Pekińska,Kapusta,1,kg
Sałata - Pak Choi,Kapusta,1,szt.
Auchan - Cebula czerwona,Cebula,0.5,szt.
Cebula - Warzywo,Cebula,1,kg
Pewni Dobrego - Cebula,Cebula,1,szt.
Auchan - Cebula złota ,Cebula,1,szt.
Les Produits du Soleil - Szalotka,Cebula,0.25,szt.
Cebula - Ekologiczna,Cebula,0.5,szt.
Auchan - Cebula czerwona,Cebula,1,kg
Les Produits du Soleil - Cebula czerwona,Cebula,0.38,szt.
Cebula - Warzywo,Cebula,3,szt.
Agro Fuentes - Cebula słodka,Cebula,0.6,szt.
Kalarepa - Warzywa,Kalarepa,1,szt.
Chrzan - Korzeń,Chrzan,1,kg
Koperek - Pęczek,Nowalijki,1,szt.
Natka - Pietruszki pęczek,Nowalijki,1,szt.
Szczypiorek - Pęczek,Nowalijki,1,szt.
Auchan - Rzodkiewki główki,Nowalijki,0.125,szt.
Rzodkiewka - Pęczek,Nowalijki,1,szt.
Cebula - Dymka pęczek,Nowalijki,1,szt.
Auchan - Natka pęczek XXL,Nowalijki,0.2,szt.
Auchan - Koper włoski,Nowalijki,1,kg
Pewni Dobrego - Dynia Nelson,Dynia,1,szt.
Arvit - Dynia na zupę,Dynia,0.8,szt.
FreshWorld - Pomidorki cherry,Pomidory,0.25,szt.
Family Organics - Pomidor Cherry BIO,Pomidory,0.25,szt.
Pomidor - Podłużny Roma,Pomidory,0.5,szt.
FreshWorld - Pomidory cherry czerwone podłużne,Pomidory,0.25,szt.
Pomidory - Drobne,Pomidory,1,kg
Auchan - Pomidor Sugarino  ,Pomidory,0.5,szt.
Pomidory - Malinowe,Pomidory,1,szt.
Pomidory - Warzywo,Pomidory,1,kg
Pomidor - Malinowy luz,Pomidory,1,kg
Fresh World - Papryka mix słodka mini,Papryka,0.2,szt.
Papryka - Biała podłużna łagodna,Papryka,0.5,szt.
Euro Papryka - Papryka Habanero czerwona ostra,Papryka,0.08,szt.
Fresh World - Papryka peperoni czerwona Piri Piri,Papryka,0.08,szt.
NOWALIJKA - Papryka czerwona podłużna,Papryka,0.5,szt.
Papryka - Czerwona ,Papryka,1,kg
Vegapol - Papryka mix ,Papryka,0.5,szt.
Come BIO - Papryka bikolor BIO,Papryka,0.4,szt.
Papryka - Zielona,Papryka,1,kg
Papryka - Ramiro słodka luz,Papryka,1,kg
Papryka - Żółta,Papryka,1,kg
Ogórek - Długi,Ogórki,1,szt.
Ogórek - Długi BIO,Ogórki,1,szt.
Ogórek - Gruntowy,Ogórki,1,kg
Pewni Dobrego - Ogórek krótki,Ogórki,1,kg
Kalafior - Warzywa,Kalafior,1,szt.
Brokuł - Warzywo,Brokuł,0.5,szt.
Brokuł - BIO warzywo,Brokuł,1,szt.
Cukinia - Warzywo,Cukinia,1,kg
Nijar Green - Cukinia BIO ,Cukinia,0.6,szt.
Nijar Green - Bakłażan BIO ,Bakłażan,1,szt.
Bakłażan - Warzywo,Bakłażan,1,kg
Czosnek - Główka sztuka,Czosnek,1,szt.
Auchan - Czosnek ekstra,Czosnek,1,szt.
Ekologiczny Stragan - Czosnek EKO,Czosnek,1,szt.
Arvit - Brukselka tacka,Brukselka,0.5,szt.
Warzywa - Miks świeżych warzyw,Freshbox,1,szt.
Ziemniaki - luz,Ziemniaki,1,kg
Ziemniaki - Jadalny ,Ziemniaki,2,szt.
Ziemniaki - Do gotowania,Ziemniaki,2,szt.
Ziemniaki - Kulinarne,Ziemniaki,2,szt.
Farma Świętokrzyska - BIO ziemniaki,Ziemniaki,1,szt.
Ziemniaki - Sałatkowe,Ziemniaki,2,szt.
Pewni Dobrego - Ziemniaki  ,Ziemniaki,2,szt.
Ziemniaki - Szczotkowane,Ziemniaki,5,szt.
Ziemniaki - Odmiana Irga,Ziemniaki,5,szt.
Ziemniaki - Słodkie Bataty,Słodkie ziemniaki,1,kg
Bataty - Bio Słodkie ziemniaki,Słodkie ziemniaki,0.5,szt.
Auchan - Buraki,Buraki,1,szt.
Buraki - Czerwone,Buraki,1,kg
Pewni Dobrego - Buraki,Buraki,1,szt.
Buraki - ekologiczne,Buraki,1,szt.
Green Factory - Seler naciowy średni,Włoszczyzna,1,szt.
Łuczak - Włoszczyzna,Włoszczyzna,0.5,szt.
Seler - Korzeń,Włoszczyzna,1,kg
Włoszczyzna - Obierana tacka,Włoszczyzna,0.5,szt.
Pietruszka - Korzeń,Włoszczyzna,1,kg
Kacprowicz - Włoszczyzna,Włoszczyzna,1,szt.
Seler - Naciowy BIO,Włoszczyzna,0.4,szt.
Warzywa - Włoszczyzna EKO,Włoszczyzna,0.4,szt.
Mączka - Marchew PP,Marchew,1,szt.
Marchew - Warzywa,Marchew,1,kg
Auchan - Marchew,Marchew,1,szt.
Pewni Dobrego - Marchew,Marchew,0.8,szt.
Farma Świętokrzyska - Marchew BIO,Marchew,0.5,szt.
Pewni Dobrego - Marchew na sok,Marchew,3,szt.
Łuczak - Por sałatkowy,Pory,0.5,szt.
Por - Warzywo,Pory,1,kg
Kapusta - główka,Kapusta,1,kg
Kapusta - Czerwona główka,Kapusta,1,kg
Kapusta - Włoska,Kapusta,1,kg
Kapusta - Pekińska,Kapusta,1,kg
Sałata - Pak Choi,Kapusta,1,szt.
Auchan - Cebula czerwona,Cebula,0.5,szt.
Cebula - Warzywo,Cebula,1,kg
Pewni Dobrego - Cebula,Cebula,1,szt.
Auchan - Cebula złota ,Cebula,1,szt.
Les Produits du Soleil - Szalotka,Cebula,0.25,szt.
Cebula - Ekologiczna,Cebula,0.5,szt.
Auchan - Cebula czerwona,Cebula,1,kg
Les Produits du Soleil - Cebula czerwona,Cebula,0.38,szt.
Cebula - Warzywo,Cebula,3,szt.
Agro Fuentes - Cebula słodka,Cebula,0.6,szt.
Kalarepa - Warzywa,Kalarepa,1,szt.
Chrzan - Korzeń,Chrzan,1,kg
Koperek - Pęczek,Nowalijki,1,szt.
Natka - Pietruszki pęczek,Nowalijki,1,szt.
Szczypiorek - Pęczek,Nowalijki,1,szt.
Auchan - Rzodkiewki główki,Nowalijki,0.125,szt.
Rzodkiewka - Pęczek,Nowalijki,1,szt.
Cebula - Dymka pęczek,Nowalijki,1,szt.
Auchan - Natka pęczek XXL,Nowalijki,0.2,szt.
Auchan - Koper włoski,Nowalijki,1,kg
Pewni Dobrego - Dynia Nelson,Dynia,1,szt.
Auchan - Jabłka,Jabłka,1,kg
"Auchan - Jabłko okazjonalne z napisem z napisem ""Kocham Cię""",Jabłka,1,szt.
Jabłka - odmiana Gala,Jabłka,1,kg
Jabłka - odmiana Golden Delicious,Jabłka,1,kg
Jabłka - odmiana Jona Prince,Jabłka,1,kg
Jabłka - odmiana Szampion,Jabłka,1,kg
Jabłka - Owoce,Jabłka,1,kg
Pewni Dobrego - Jabłka Red Pinova,Jabłka,1,kg
Auchan - Jabłko: Szampion,Jabłka,1.5,szt.
Jabłka - Szampion tacka 4 szt,Jabłka,1,szt.
Jabłka - Kulinarne odmiana  Boskop,Jabłka,1.5,szt.
Jabłka - Jonaprince,Jabłka,1,szt.
Pewni Dobrego - Jabłka Gala,Jabłka,4,szt.
Pewni Dobrego - Jabłka szkolne bez pestycydów,Jabłka,1.5,szt.
Jabłka - Jonagold odmiana Red Prince,Jabłka,2,szt.
Pol - Agro - Jabłka,Jabłka,3,szt.
Pewni Dobrego - Jabłka MIX,Jabłka,0.6,szt.
Gruszki - Owoce,Gruszka,1,szt.
Auchan - Gruszka odmiana Paten,Gruszka,1,szt.
Pewni Dobrego - Gruszka Xenia  ,Gruszka,0.8,szt.
Gruszki - Odmiana Konferencja,Gruszka,1,kg
Gruszki - Chińskie Nashi,Gruszka,1,kg
Winogrona - Ciemne,Winogrono,1,kg
Winogrona - Różowe,Winogrono,1,kg
Winogrona - Jasne bezpestkowe,Winogrono,1,kg
Banany - Drobny,Banany,1,kg
Banany - Premium,Banany,1,kg
Banany - BIO  ,Banany,1,kg
Banany - Czerwone,Banany,0.6,szt.
Pomarańcze - Owoce,Pomarańcze,1,szt.
Pomarańcze - Owoce,Pomarańcze,1,kg
Auchan - Pomarańcze na sok,Pomarańcze,1,szt.
Pomarańcze - Owoce,Pomarańcze,1,kg
Auchan - Pomarańcze deserowe,Pomarańcze,1,szt.
Sirio - Pomarańcze czerwone ,Pomarańcze,1,szt.
Pitahaya - Czerwona ,Pomarańcze,1,szt.
Kurkuma - Korzeń,Pomarańcze,1,kg
Mandarynki - Owoce,Mandarynki,1,kg
Nulexport - Mandarynki Klementynki,Mandarynki,1,szt.
Auchan - Mandarynki,Mandarynki,1,szt.
Grapefruit - Czerwony,Grapefruit,1,kg
Grapefruit - Czerwony,Grapefruit,1,kg
Grapefruit - Biały,Grapefruit,1,kg
Grapefruit - Pomelo,Grapefruit,1,kg
Kiwi - Owoce,Kiwi,1,szt.
Kiwi - Owoce Ready to Eat,Kiwi,3,szt.
Kiwi - Owoce koszyk,Kiwi,1,szt.
FreshWorld - Kiwi złote,Kiwi,0.5,szt.
Kiwi - Bio owoce,Kiwi,4,szt.
Cytryny - Owoce w siatce,Cytryny,0.5,szt.
Pewni Dobrego - Cytryny,Cytryny,0.5,szt.
Cytryny - Owoc,Cytryny,1,kg
Cytryny - Owoc,Cytryny,1,kg
Limonka - Owoce tacka 4 szt,Cytryny,4,szt.
Auchan - Cytryny w siatce,Cytryny,1,szt.
